caption,emotion,confidence
"He's the upgrade on Fernando Erento this season, isn't he? Erento has gone back to Spain and Mandzukic just come here from Athletico Madrid.",curiosity,0.1488
There was room that he vacated that Carvajal was trying to exploit. Arda Turan. Gabi.,anger,0.0717
"I'm not sure he would have ever got there, but he does block the run. Some referees might have given that.",confusion,0.1032
The need is urgent now. Three of mid fields gone. Matuidi and Cabaye look like they're going to play as.,desire,0.1249
"Thank Unai Emery would have wanted to have brought on Gameiro around about now, but with the score at 2-1 or 2-2 just a little bit more in the game for Sevilla because he can score late on and he's got a great combination with Banega. It might be too little too late though for the home side.",gratitude,0.3101
Here's Busquets now. Mathieu. Mascherano.,curiosity,0.0831
Comfortable so far for Milan. They have. It only takes 1.,relief,0.143
"So the yellow card, for Navas. And Graham Poll had a look at that and said that's a fair yellow card.",curiosity,0.1333
Tonight's who's who of world football. Who's been skippering Brazil?,curiosity,0.1578
"Pogba, Furthest forward from Manchester United and still so. That's from a. Great winning goal for.",excitement,0.0927
 It's been a fair few months now at the club. It's that time he makes an impact and it's a good start from him.,optimism,0.1332
"Midfield player who loves to push forward. It's going to be a little bit restricted in the way Liverpool have set up here. More doing that sort of thing, getting in the way and intercepting and allowing Klavan to clear. Lovren.",desire,0.1006
Lose concentration. Make a mistake like that. Levandowski was on side now that his Giroud to turn onto his favoured left foot.,nervousness,0.1
Probably need that united just a little bit of respite at 5 minutes of pressure and defending allows David De Gea to get his team up the pitch. No thought of playing short.,relief,0.1122
The team concede they would need to score 2 to go through. Hernandez. Here's Arda Turan. Juanfran. Arda Turan again.,excitement,0.0688
"Aguero very, very nearly cut out that pass from Chiellini and had he done so, he could have turned and would have been straight in on goal. Inches in that.",excitement,0.104
Went across Milner. Lovren is secured by the near post. Good defending. Ivanovic.,caring,0.1042
Manchester United are pressing them apart. Can trying to not make Firmino flipping it inside. They having the basics right at the moment. Fellaini,nervousness,0.0794
"Yeah, Sergio Ramos, Illaramendi and the back four all will be in charge of just shutting out Sevilla. I think that's gonna be the tactic for the final five minutes or so. But you've actually got a back six more or less there. You've got six very much defensive minded players with the Kroos holding them together and being the connection with the three forwards. We've also got Gareth Bale, who's still fairly fresh in this game. If they just want to knock the ball up to him. : Kolodziejczak pushes it back to Rico.",desire,0.0862
"Here's the attempts answered. Manchester City, just shading it. They've certainly had the better chances this evening.",curiosity,0.0957
There was once that six in at [stadium]Old Trafford[stadium] nonetheless. Sagna can deal with that.,caring,0.084
"Fed in towards Kane. It's Alli! who's first to the second ball, just couldn't get hold of it.",excitement,0.1696
"Picking up the ball for the throw and it wasn't, camera says. To get really, it was clearly a royal ball and he's not made much of that.",confusion,0.1062
Good save by Courtois. Chelsea fast asleep?,curiosity,0.1274
"The little bones around the top of the foot and always a risk with the footwear not being as substantial as it used to be. Damaged, right? Serious.",embarrassment,0.098
David Luiz has been in majestic form of late.,pride,0.1369
De Bruyne is offside. Way offside. He makes a really good run De Bruyne.,curiosity,0.0794
"It's ideal now for Arsenal, isn't it? Chelsea now gotta come out. They've got to come out and play a little bit and they've got the pace.",optimism,0.1689
"And losing his footing through his own momentum, in the mind of the official, anyway.",confusion,0.1402
Rakitic with some workspace. To the right hand side.,caring,0.1131
"Whether there was a deflection on the ball, he thought he was saving a corner. I don't know. Anyway, it is a corner now.",confusion,0.2352
"They did only beat three of the other nine teams that finished in the top half here at White Hart Lane last season. That is a statistic that they will be hoping and expecting to prove this time around, starting today.",desire,0.1578
This marks his147th appearance in the Champions League. I wonder if you will get the opportunity to.,curiosity,0.3486
To get the ball and the angle behind the back 4.,desire,0.1082
"He's a great defender, but he looks as if he's got his shoes on the wrong feet this evening, doesn't he? He's looking down at his boot just now.",confusion,0.1804
"Into the hands of Rico. His best effort, though of the game, they're not really Tony Kroos is night so far in terms of shots on goal.",desire,0.0744
